rpa,deg,omega,sigma,u0,ustar,cost
0.1,95,3.0675740251558445,0.0690493855240728,0.9726363934568434,9.762427951444336,1.1846396194324465e-17
0.1,100,3.076924552491824,0.0671301818526059,0.9738379460628256,9.516250880412237,3.672628543395222e-18
0.1,94,3.065850627857862,0.0692726412598053,0.972456909596036,9.811630316542605,4.4366970112784605e-16
0.1,93,3.064183580442126,0.0694415707588172,0.9722980203017676,9.860723677753588,1.3517945152783e-13
0.1,92,3.0625627046088533,0.0695570259346504,0.9721633695282638,9.90966793940464,6.954585493699218e-15
0.1,91,3.061006746389276,0.0696178049477226,0.972048024932493,9.95842575153547,1.1117017185337085e-13
0.1,81,3.0488822904937165,0.0673379517435497,0.9720724425519328,10.428396010546775,4.003875885889433e-15
0.1,82,3.049794864712075,0.0677925730599596,0.9719767716352462,10.383278808291363,1.18039343984193e-15
0.1,83,3.050781595445275,0.0681987558162141,0.971899615275476,10.337673738018909,4.287531919331417e-17
0.1,84,3.051832214279528,0.0685561466433082,0.9718441375332127,10.291605864664604,2.477900307676738e-17
0.2666666666666666,10,3.0945671410096045,0.0052344810144995,0.9965420714519928,5.771781431491611,1.128333799800529e-16
0.2666666666666666,15,3.0945671410096045,0.0052344810144995,0.9965420714519928,5.771781431491611,0.0112833379980052
0.2666666666666666,20,3.038063552825037,0.0215281242516576,0.989147722806168,5.792672425782415,6.285067537694129e-20
0.2666666666666666,25,3.0101208780510547,0.0340456988441567,0.983660480669697,5.791255115931837,2.190075675789686e-17
0.2666666666666666,30,2.9829048391174697,0.0494831829565287,0.977220327300851,5.778419875525103,5.1483761009741075e-16
0.2666666666666666,35,2.9568622711575583,0.0677319394274058,0.9700062157596644,5.751689245160883,1.339075581172635e-16
0.2666666666666666,40,2.933005047581773,0.0885110807037425,0.962048613673968,5.7081877063071,7.57818640660576e-13
0.2666666666666666,45,2.911106518700937,0.1114961456668194,0.9537623377066188,5.645938451368125,3.194417703500385e-15
0.2666666666666666,50,2.891210292529169,0.136238590316429,0.945482528068034,5.562729512989944,6.263363025606226e-17
0.2666666666666666,55,2.87402294461074,0.1620617370907517,0.9373642536462377,5.455807814897843,5.805113831601202e-16
0.2666666666666666,60,2.8597262866048814,0.1882157948574681,0.9297387837335288,5.322751271290263,8.767810951646248e-16
0.2666666666666666,65,2.8486274213754323,0.2138100802408384,0.9228811700730424,5.16098420305929,1.223339202676537e-16
0.2666666666666666,70,2.841090173606241,0.2378353290172696,0.917079172143896,4.967838227528431,2.418728724303471e-13
0.2666666666666666,75,2.8372779242237183,0.2592622938014212,0.9126517328926576,4.740705588625896,1.1112020236470637e-18
0.2666666666666666,105,2.9196604087445897,0.2710164379465243,0.9290842386044886,2.5515244658504703,2.3380160160536257e-17
0.2666666666666666,110,2.955255656499711,0.2453862178852237,0.9405664250206888,2.0860785014303342,7.523215563833131e-16
0.2666666666666666,115,2.9951729104951927,0.212784815426469,0.9539114034245294,1.664812156384323,9.947451967394966e-16
0.2666666666666666,120,3.034563265169862,0.1770774848090257,0.9677519042799548,1.3481434561113776,2.040222552342155e-18
0.2666666666666666,125,3.067857260131178,0.1428365744039351,0.9807418305010188,1.1633396535064753,1.6816219263288573e-17
0.2666666666666666,130,3.092818353982469,0.1126551301255033,0.9921037628612674,1.090677273304978,1.2493584809633085e-16
0.2666666666666666,135,3.109821140942332,0.0870924415775142,1.0017120795700232,1.093156265887912,2.1865855122887744e-16
0.2666666666666666,140,3.1192382884536376,0.0658653729670005,1.0099811861532402,1.1391345220785594,4.548853921003229e-17
0.2666666666666666,145,3.123276788571446,0.0483737214046582,1.0166962727493318,1.209859380320318,9.47631199869914e-16
0.26666666666666666,150,3.121922419084301,0.03419218085015292,1.022281805783653,1.2916022289671514,3.9994736355272935e-18
