sigma,rpa,deg,u0,omega,psi1,u1,cost,success
0.15,4.0,140,-1.011933718877443,29.9977842819678,7.399766720599027e-07,5.034978437831438e-07,0.0750984566438971,True
0.15,4.0,160,-1.023113925419404,29.957207015614127,4.640276718832677e-05,2.127710634768247e-05,1.4084430286121916,True
0.15,5.0,0,-7.0451505601166595e-40,2.5819888974716103,-6.484407823365348e-32,-3.3314826348402725e-32,2.465190328815662e-32,True
0.15,5.0,20,-0.6472514779464502,27.48431867352356,-1.433259006730649e-06,-9.892387868207375e-07,1.659690827102133e-12,True
0.15,5.0,40,-0.6336789344923524,33.51184791546169,9.165568395606604e-06,6.347971067708388e-06,0.8537972303380091,True
0.15,5.0,100,-0.3828003666583194,37.901095637831965,-4.723235474818991e-09,-3.2407016205404918e-09,1.7312082820179323e-20,True
0.15,5.0,120,-0.3839675896342569,38.24636795502064,2.3946755989838243e-05,1.654361882932658e-05,11.394952237981595,True
0.15,5.0,140,-0.3876394840112122,38.72982821959923,-0.0001172553491569,-8.147342911989458e-05,31.85003693235885,True
0.15,5.0,160,-0.3826778461526692,38.72983229064141,0.0002168315960182,0.0001506457860561,27.617773723543525,True
0.15,4.0,30,-0.8479944875737934,24.72417576178049,9.753640187422472e-11,-2.517295847807051e-09,3.647839659083613e-18,True
0.15,4.0,50,-1.0088338999973805,25.46199109249854,-4.8223082922179296e-08,-3.6364175068656646e-08,5.266056887138256e-14,True
0.15,4.0,70,-1.0809238992594157,30.98381236929339,-5.3181651154581336e-05,-3.6774047331704085e-05,16.907124222411344,True
0.15,4.0,35,-0.889958518726212,30.11836985774909,5.632450992487163e-10,3.2669773682512316e-10,7.143866458755139e-20,True
0.15,4.0,45,-0.9708968977886876,30.520426631726824,5.480002232323738e-10,3.143976334488526e-10,2.704816941896381e-12,True
0.15,4.0,55,-1.0444725724995934,24.400754914223256,1.5502744502303736e-09,-6.479285715213811e-09,3.070429010821455e-17,True
0.15,4.0,65,-1.1071084402005738,27.79213230767106,5.885885463099448e-09,3.1465382766599923e-09,9.423209378599905e-19,True
0.15,4.0,95,-0.9386863719768196,29.582461356762902,-1.7187349008185267e-05,-1.192685185216806e-05,0.9311224210593032,True
0.15,4.0,15,-0.7447579723906376,18.860413426322093,-1.458420169675846,0.0023463090638047,1.0658686315479795,True
0.15,4.0,10,-0.7447588440415744,18.86005127016525,-2.178052947206771,7.097843538233586,27.498581787604746,True
0.15,4.0,75,-1.0738505506926437,30.983818640234745,-3.0705027368486544e-05,-2.1236588354317693e-05,11.229946482061242,True
0.15,3.0,10,-0.897858281524092,23.23789980786034,-1.7775779356629795e-09,-2.002283098301656e-09,7.80807243852299e-06,True
0.15,3.0,15,-0.9293839248247516,23.23789980786034,-3.746798868711762e-09,-4.234980830843278e-09,1.7458549114114105e-05,True
0.15,3.0,25,-1.010310497782562,23.237898468907343,0.0001734037651876,0.0001190573306598,0.0296050155422877,True
0.15,3.0,35,-1.081796614237644,23.23789748617281,0.0001181946153133,8.097128380570472e-05,0.0066882470111975,True
0.15,3.0,50,-1.184293307353805,23.219257175045247,5.846173162401889e-09,-8.40224784774429e-09,7.530051079707329e-17,True
0.15,3.0,55,-1.2154388576533752,22.293901754920206,1.42235454199466e-08,-1.7987674930553086e-08,3.5176415870458504e-16,True
0.15,3.0,65,-1.2682545649479668,23.14663481904905,9.003134603394866e-09,-1.2703172138044649e-08,1.7348757567895466e-16,True
0.15,3.0,70,-1.2889103226189182,23.14713005505111,9.899708648699032e-09,-1.3969577020880291e-08,2.096699491886376e-16,True
0.15,3.0,75,-1.305002352598804,21.50794866282118,3.8404890534866575e-08,-4.7946972929708654e-08,2.3973587182669604e-15,True
0.15,3.0,95,-1.305100909972586,21.59918127805304,-4.575789253630455,-5.498312608304508,25.583405308426755,True
0.15,3.0,45,-1.1506462746305393,22.881541604154307,6.668586882228207e-09,-8.936998752600416e-09,8.845769616054888e-17,True
0.15,3.0,44,-1.143661439797142,22.44878904861075,9.066254841980404e-09,-1.1582622678301248e-08,1.4618867533682466e-16,True
0.15,3.0,43,-1.1366010382257503,22.983342378165208,5.723288947858833e-09,-7.805244826507674e-09,6.598219479321355e-17,True
0.15,3.0,42,-1.129468988673285,23.207353578487325,4.557237359630625e-09,-6.530437905511797e-09,4.607103480086792e-17,True
0.15,3.0,41,-1.122269593871135,23.230190845771578,4.305983332479174e-09,-6.2081309285118714e-09,4.1565441103124106e-17,True
0.15,3.0,39,-1.1076865261301698,23.237643427347475,3.964765223724126e-09,-5.728064106803449e-09,3.5465546117002415e-17,True
0.15,3.0,38,-1.1014743282532742,23.237897628987,4.5891136324823295e-05,3.150871836219232e-05,0.0007067097783209,True
0.15,3.0,37,-1.094746540907664,23.23789873660693,8.00291658822035e-05,5.488055321456695e-05,0.0016283756058302,True
0.15,3.0,36,-1.0879746868274052,23.237898855357617,9.103954353641444e-05,6.23616758206223e-05,0.0028988246110972,True
0.15,3.0,34,-1.0751604339818426,23.2378903110213,0.000156788306419,0.0001074327783342,0.0099591027428186,True
0.15,3.0,33,-1.0683998804794848,23.23789344658279,0.0001925709049501,0.0001319522710514,0.0132202213235198,True
0.15,3.0,32,-1.0615074643708304,23.237898213046755,0.000220594497826,0.0001511311151388,0.0161801539876552,True
0.15,3.0,31,-1.054529150170555,23.23789843404836,0.0002398239825348,0.0001642622568209,0.0189305956480475,True
0.15,3.0,30,-1.0474917490692424,23.237899533865832,0.0002522431072931,0.0001727111332146,0.0215197214627716,True
0.15,3.0,29,-1.032409604562912,23.23788145335612,7.869774506859003e-07,5.28036944752687e-07,0.000298509531711,True
0.15,3.0,28,-1.0302232733215322,23.23789927679724,9.528191494251064e-07,6.418945546547088e-07,0.0210730553768807,True
0.15,3.0,27,-1.0225352599574156,23.23789733723614,2.679691526151617e-05,1.839189580637e-05,0.0140406554388384,True
0.15,3.0,26,-1.0169809961334682,23.237899699681417,0.0001028239070168,7.06046648511047e-05,0.0254027463203176,True
0.15,3.0,24,-1.0039082239623414,23.23789850181429,0.0002303926784316,0.0001581628228245,0.0366384655215374,True
0.15,3.0,23,-0.9972980794121123,23.23789801111363,0.0002800104481242,0.0001921931948408,0.0421387415233237,True
0.15,3.0,22,-0.9907109066317984,23.23789980786034,0.0003204853487155,0.0002199349357445,0.0478269878831312,True
