rpa,deg,u0,omega,cost,success,psi1,u1
3.0,95,-0.4550527170415043,85.56448160504948,4.925364449686206e-15,True,2.7778949530407423e-10,-3.9682836153040237e-10
3.0,97,-0.4525388141903833,89.93525188510732,2.5177126340230635e-12,True,-4.212107641886333e-07,-9.214094331697165e-08
3.0,99,-0.4495747741402843,86.01306201485927,1.608573747334308e-13,True,1.4604308313740236e-08,2.763488021445337e-09
3.0,101,-0.446126663304779,93.5034699534554,5.446872319210347e-12,True,-1.079878986402226e-06,-2.360507533717635e-07
3.0,103,-0.4421961813417983,85.25313280458643,1.944317157653032e-16,True,2.00399405086971e-10,-4.6016551134349324e-10
3.0,107,-0.4327700169770771,91.79339650485016,8.284364059640613e-15,True,3.1657467960836157e-09,5.693860382248125e-10
3.0,109,-0.4272631285409644,83.35900147006572,4.26244844317576e-14,True,1.0090476811666633e-07,2.1217443456358253e-08
4.0,77,-0.3984895861712172,74.04822764782932,1.971650923501451e-16,True,3.7040395562764085e-09,-5.6643449475545996e-09
4.0,79,-0.4000406476267552,88.46883585985896,4.948559500018225e-13,True,-4.782175224564331e-07,-1.0466453315838709e-07
4.0,81,-0.4013095312648052,79.59798838436797,4.356739465342184e-18,True,-1.866539673481979e-09,-2.329736910938616e-09
4.0,83,-0.4022817651963482,93.46621006647864,1.6479199677102162e-14,True,-2.0990101868631541e-07,-4.5975269642637627e-08
4.0,85,-0.4029415972915146,76.81476101655996,1.1927751740149505e-17,True,9.814183767216435e-10,-3.6099149780658522e-09
4.0,87,-0.4032693106594454,86.94101970986733,1.9912291528918899e-13,True,-1.0479239216524254e-07,-2.3261365240982574e-08
4.0,93,-0.4021169108544204,79.36482369993371,4.695072031808871e-14,True,-3.1750368303598603e-09,-3.0081828811879607e-09
4.0,95,-0.4009359565503631,83.62217762376785,3.812880879882414e-14,True,3.225408611554056e-10,-8.209469255808355e-10
4.0,97,-0.399325832055432,90.19231544986224,9.02645667245093e-15,True,-4.3727518043306344e-08,-9.75548424607757e-09
4.0,99,-0.3972728479220463,56.925831155348895,8.988531824797328e-14,True,1.0368490810004449e-07,-4.034806699233658e-07
4.0,101,-0.3947299881996133,78.57800807680606,1.4525555534025756e-08,True,3.076565675664429e-10,-1.0193503392185026e-09
4.0,103,-0.3916750036900006,87.41965800198467,1.0573525653348505e-13,True,-1.0160511122031056e-07,-2.2565069651339897e-08
